Fecha ;PM10;PM2.5;Vel Viento;Dir Viento;NO;NO2;NOX;SO2;CO;OZONO;BC;Temperatura;Presion Baro;HR;Precipitacion ;Rad Solar
01-01-2024 01:00;37,1;26,2;0,2;245;0;24,5;45,3;1,6;0,78;0;0;13,9;565;0;0;0
01-01-2024 02:00;37,9;19;0,2;251;0;23,2;38,9;1,5;0,72;0,2;0;13,4;564;0;0;0
01-01-2024 03:00;43,8;33,8;0,1;223;0;20,7;37,7;1,5;0,75;0,2;0;13;564;0;0;0
01-01-2024 04:00;48,7;42,6;0,1;241;0;19,8;42,1;1,6;0,79;0,1;0;13,3;564;0;0;0
01-01-2024 05:00;67,6;46,1;0,3;246;0;19,5;35,3;1,4;0,67;0,4;0;13,2;564;0;0,1;0
01-01-2024 06:00;54,6;43,1;0,5;297;0;18,1;28,8;1,4;0,58;1,1;0;13,2;564;0;0;0
01-01-2024 07:00;46,3;36,6;0,3;299;0;16,1;25;1,3;0,55;1,3;0;12,7;565;0;0;51
01-01-2024 08:00;40,3;39,3;0,7;333;0;16,4;25,5;1,2;0,49;4,7;0;14,7;565;0;0;245
01-01-2024 09:00;32,9;27,9;0,8;36;0;17,3;23,2;1,1;0,41;9,2;0;17;565;0;0;459
01-01-2024 10:00;23,8;19,8;1,1;22;0;16,5;20,9;1,2;0,38;11,3;0;17,8;565;0;0;421
01-01-2024 11:00;17,9;14;1,4;88;0;16,5;20;1,2;0,34;10,5;0;17,9;565;0;0;317
01-01-2024 12:00;13,4;9,8;1,1;29;0;16,5;19,5;1,1;0,33;11;0;19,3;565;0;0;533
01-01-2024 13:00;10,9;6,9;1,2;329;0;16,9;19,5;1,2;0,33;13;0;20,9;564;0;0;790
01-01-2024 14:00;9;4,9;1;305;0;17,7;20,1;1,1;0,34;15,1;0;22,2;564;0;0;732
01-01-2024 15:00;7,6;3,5;0,9;7;0;18,1;20,6;1,2;0,34;14;0;21,4;563;0;0;318
01-01-2024 16:00;9,4;2,6;2,4;255;0;18,5;20,7;1,2;0,36;19,9;0;20,7;563;0;0;417
01-01-2024 17:00;17,9;2;2;244;0;18,6;19,6;1,2;0,35;21,6;0;18,9;563;0;0;127
01-01-2024 18:00;12,4;1,5;1,4;251;0;19,8;20,7;1,3;0,36;17,8;0;17,2;563;0;0;16
01-01-2024 19:00;16,2;1,3;1;233;0;19,8;20,6;1,2;0,4;13,6;0;16,1;564;0;0;0
01-01-2024 20:00;18,1;10,2;0,8;234;0;19,1;20,1;1,1;0,39;10,8;0;15,3;564;0;0;0
01-01-2024 21:00;21,9;12,4;0,2;202;0;18,8;19,9;1,1;0,4;7,9;0;14,7;565;0;0;0
01-01-2024 22:00;18,2;11,5;0,2;282;0;21,4;23,9;1,2;0,52;2,5;0;14,2;565;0;0;0
01-01-2024 23:00;----;21,9;0,1;210;0;19,6;23,2;1,2;0,54;1,7;0;13,6;565;0;0;0
01-01-2024 24:00;----;15,7;0,1;222;0;18,9;23,9;1,2;0,51;1,5;0;13,9;565;0;0;0
02-01-2024 01:00;----;47,8;0,3;270;0;19,1;24;1,2;0,44;1,9;0;14,2;564;0;0;0
02-01-2024 02:00;----;33,7;0,6;274;0;20,7;26;1,3;0,43;2;0;13,8;564;0;0;0
02-01-2024 03:00;----;23,4;0,2;275;0;16,8;21,3;1,2;0,4;2,1;0;13,3;564;0;0;0
02-01-2024 04:00;----;16,8;0,4;264;0;15,8;20,4;1,2;0,38;1,9;0;13,4;563;0;0;0
02-01-2024 05:00;15,2;13;0,1;183;0;18;23,2;1,2;0,41;0,9;0;13,3;564;0;0;0
02-01-2024 06:00;17,7;17,4;0,2;262;0;18,6;29,3;1,3;0,5;0,4;0;12,4;564;0;0;0
02-01-2024 07:00;23;14,8;0,1;215;0;20;49,1;1,6;0,71;0,4;0;12,9;564;0;0;20
02-01-2024 08:00;22;17,3;0,6;278;0;18,6;47,7;1,7;0,73;3;0;14,3;565;0;0;143
02-01-2024 09:00;34,2;12,6;1,5;343;0;16,3;28,7;1,4;0,49;9,6;0;15,8;565;0;0;347
02-01-2024 10:00;24,8;10,4;0,9;178;0;16,8;24,3;1,2;0,42;11,9;0;17,5;565;0;0;549
02-01-2024 11:00;20,8;8,7;1;190;0;17;22;1,2;0,4;13,3;0;19,1;565;0;0;667
02-01-2024 12:00;22,8;6,9;1,4;322;0;17,8;21,8;1,2;0,39;16;0;20,2;564;0;0;700
02-01-2024 13:00;18;9,2;1,3;294;0;17,6;20,3;1,3;0,37;17,4;0;20,5;564;0;0;507
02-01-2024 14:00;14,1;8;1,2;303;0;17,4;19,4;1,3;0,36;18,1;0;21,6;563;0;0;601
02-01-2024 15:00;11,6;6,2;2,2;246;0;18,6;20;1,3;0,37;25,8;0;20,2;563;0;0;293
02-01-2024 16:00;20,9;20,1;2,1;246;0;18,5;19,4;1,3;0,36;25,2;0;18,8;563;0;0;182
02-01-2024 17:00;32,8;15,5;1,9;239;0;18,7;19,4;1,2;0,37;25,3;0;17,8;563;0;0;94
02-01-2024 18:00;27,8;13,1;1,6;246;0;19,1;19,7;1,2;0,38;22,3;0;16,7;563;0;0;22
02-01-2024 19:00;32,8;24,3;0,9;260;0;20,1;20,8;1,3;0,4;12,5;0;15,9;563;0;0;0
02-01-2024 20:00;26,8;26,8;0,7;218;0;21,3;22,2;1,2;0,43;11;0;15,2;564;0;0;0
02-01-2024 21:00;24,1;19,5;0,5;239;0;23;24,2;1,2;0,48;9,5;0;14,3;564;0;0;0
02-01-2024 22:00;25,1;14;0,4;228;0;23,2;24,8;1,2;0,52;7,1;0;13,9;565;0;0;0
